ID,2_1,2_2,2_3,2_4,2_5,2_all,3_1,3_2,3_3,3_all,4_1,4_2,4_3,4_4,4_all,5_1,5_2,5_3,5_4,5_5,5_6,5_all,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_all,7_1,7_2,7_3,7_4,7_all,all
1293,3,2,3,2,3,1,4,4,4,3,4,4,2,3,2,5,4,4,4,4,4,3,2,2,1,2,5,4,3,4,3,3,4,4,1,2,1,3
1294,2,2,2,4,4,1,2,1,4,2,4,5,5,2,4,4,4,4,4,4,3,2,2,2,5,2,4,4,4,3,3,2,4,2,4,4,4,4
1295,2,2,2,2,2,3,2,3,3,3,3,4,2,4,2,4,4,5,5,5,5,1,3,3,5,4,5,5,4,2,3,3,4,3,2,4,4,4
1296,2,3,4,4,4,2,5,5,4,4,4,2,4,5,4,5,5,5,5,5,4,4,5,4,5,4,4,5,5,4,4,4,5,4,3,3,3,4
1297,1,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,1,3,3,3,2,2,2
1298,1,4,2,2,4,2,4,4,5,4,5,4,3,4,3,5,5,5,4,4,4,4,4,4,5,4,4,4,4,2,3,4,4,4,5,4,5,4
1299,4,4,4,4,4,4,4,4,5,4,5,4,5,4,3,5,5,5,5,2,2,1,2,2,5,3,5,5,5,4,4,4,5,4,4,4,4,4
1300,2,3,3,2,3,2,3,3,3,3,4,4,4,4,2,5,5,5,5,3,3,3,2,2,4,3,4,4,4,3,3,3,4,4,4,3,4,4
1301,2,3,3,4,5,4,4,2,5,4,1,1,2,4,1,5,5,5,4,4,4,4,3,4,5,5,5,5,4,3,2,4,4,3,3,2,4,4
1302,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,4,4,5,5,5,5,4,2,1,4,4,4,4,4,4,4,2,2,2,2,1,2,5
1303,2,4,2,3,3,2,3,3,4,3,4,4,3,4,4,4,3,3,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,3,2,2,2,1
1304,3,2,4,4,5,3,2,4,4,4,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,4,5,5,2,3,3,4,3,2,2,3,3,3
1305,4,4,4,4,4,3,4,4,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,3,5,5,5
1306,2,3,3,2,3,1,4,2,2,2,1,2,3,5,2,5,5,5,4,3,3,2,4,4,2,3,5,4,3,3,2,2,5,4,2,3,3,4
1307,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1308,3,4,4,3,4,3,4,4,4,4,4,4,5,4,5,4,3,5,5,4,4,3,3,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4
1309,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3
1310,4,4,4,2,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,1,3,4,5,4,4,4,4,5,5,4,3,2,2
1311,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,4,3,1,1
1312,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,5
1313,1,4,2,3,2,1,4,4,4,3,2,3,3,3,3,4,4,4,4,3,2,2,3,3,2,3,3,3,3,2,2,2,3,3,2,3,3,3
1314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,2,2,1,1,3,3,2,2,2,3,3,2,3,3,2,3,2,3
1315,2,3,4,4,3,2,4,3,3,4,2,3,2,4,4,3,4,5,5,3,3,2,3,2,3,2,2,3,2,2,3,2,4,3,2,2,3,3
1316,3,4,4,4,5,4,5,3,4,3,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,3,5,4,5,5,5,5
1317,4,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1318,2,3,2,2,2,2,2,3,3,3,2,4,4,2,2,5,5,5,4,4,2,2,3,2,4,3,2,3,3,2,3,3,5,4,2,3,3,3
1319,2,4,2,2,4,3,4,4,4,4,2,3,2,4,3,4,4,5,4,3,3,2,3,2,3,2,3,3,4,3,3,4,4,4,3,4,3,4
1320,3,4,4,2,4,2,3,4,4,3,5,5,5,2,1,5,4,5,3,3,3,3,4,4,3,4,4,5,3,3,3,3,3,3,1,3,2,3
1321,3,4,4,2,4,2,4,2,4,3,4,5,5,4,3,4,4,5,3,3,3,3,5,4,3,4,4,4,4,4,4,2,5,5,2,3,4,4
1322,3,3,3,4,4,3,4,3,4,3,2,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
1323,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,2,2,2,3,3,3,2,2,2,3,2,2,3,3,3,3,4,3,3
1324,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,3,1,1,1,1,3,4,4,3,3,3,2,2,2,2,3,3
1325,4,4,3,3,5,4,4,4,5,4,5,5,5,4,4,5,5,5,4,4,5,3,3,3,2,4,5,5,5,4,3,4,5,5,3,1,3,4
1326,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,5,5,5,3,2,3,3,3,3,2,2,2,2,4,4,4,4,4,4,5,4,4,2
1327,2,4,2,1,4,4,4,3,4,3,2,5,5,4,4,5,4,5,5,3,3,3,4,2,1,2,2,2,2,1,2,2,4,2,4,1,2,2
1328,4,4,4,3,4,4,5,4,5,4,3,4,5,4,4,4,4,5,4,3,4,4,4,3,1,3,4,4,4,4,4,3,5,4,4,3,4,4
1329,3,4,4,5,4,4,5,5,5,5,4,3,4,4,2,5,5,5,5,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,4,4,4,5
1330,2,2,2,4,3,2,4,3,4,3,3,5,5,4,2,4,2,3,4,4,3,3,4,4,2,3,4,4,3,3,4,2,4,4,3,3,4,4
1331,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,3,2,3,4,4,4,4,4,4,4,3,3,4,3,4
1332,2,4,2,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,5
1333,3,3,3,3,3,3,3,3,3,2,4,3,4,3,2,4,3,4,2,1,1,1,1,1,4,1,3,2,2,2,2,1,1,1,1,2,2,1
1334,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5,5,4
1335,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,5,5,5,5,4,4,4,4,4,1,4,4,5,4,3,3,4,5,5,4,4,4,5
1336,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
1337,4,4,2,2,4,3,2,4,3,1,5,5,4,1,5,5,5,5,4,2,2,3,3,3,2,4,4,4,4,4,4,4,3,3,4,4,3,3
1338,2,2,2,4,4,3,4,5,5,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,2,2,3,4
1339,3,3,3,2,3,3,4,4,4,4,4,2,4,2,1,4,4,4,5,3,3,3,3,3,3,2,4,4,4,3,3,3,3,3,4,3,3,4
1340,4,4,4,4,5,4,4,5,5,4,4,2,5,4,3,5,5,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,4,4
1341,1,2,1,2,3,2,4,4,4,4,2,2,2,2,3,4,5,4,5,3,3,3,4,3,4,4,3,4,4,3,3,3,2,3,4,4,4,4
1342,1,2,2,5,3,1,4,4,5,5,4,5,5,4,5,4,4,4,4,4,4,4,3,3,5,4,4,5,4,3,3,3,5,4,5,4,5,4
1343,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,3,4,5,5,4,5,5,5,4,4,4,5,5,5,4,4,5
1344,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,5
1345,3,4,4,3,4,4,5,4,4,4,3,4,4,5,3,4,5,5,4,4,4,5,5,4,3,5,4,4,4,4,4,4,5,4,4,3,3,5
1346,3,4,3,4,3,3,4,4,4,4,4,5,4,5,4,4,4,5,5,4,3,3,3,3,5,4,4,5,5,4,4,4,5,4,5,5,5,5
1347,4,4,4,4,4,4,5,5,5,5,3,5,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,5,3,4,5
1348,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,3,4,4,2,3,3,3,3,2,3,3,4,4,5,3,3,3
1349,3,4,4,3,5,4,5,4,5,4,3,3,5,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,2,3,5
1350,4,4,2,3,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,4,5,4,4,4,4,4,5,5,5,4,3,4,4
1351,2,4,3,5,4,2,5,5,5,5,2,3,4,5,2,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,4,5,5,5,4,3,4,4
1352,2,3,3,3,4,2,3,4,5,2,2,2,5,4,2,5,5,5,5,5,5,4,4,3,2,5,5,5,5,4,4,5,5,5,5,2,3,5
1353,2,3,4,3,4,4,5,5,5,5,4,4,4,5,4,3,5,5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1354,3,3,2,5,3,2,3,3,4,4,2,3,3,4,2,5,5,5,4,4,3,2,4,4,2,3,5,4,4,4,3,4,3,3,4,5,3,4
1355,2,2,4,4,4,4,4,4,4,4,2,2,2,4,4,5,5,5,4,2,2,2,2,2,4,2,4,5,3,2,2,3,5,5,4,2,4,2
1356,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,5,5,5,5,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4
1357,2,2,2,2,4,2,4,2,5,4,4,2,2,4,2,5,4,4,4,4,3,3,2,2,2,2,4,4,4,2,4,3,4,4,2,1,1,4
1358,4,4,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,5,4,3,2,3,3,3,3,4,4,3,3,3,3,4,4,3,2,2,3
1359,2,4,4,4,3,3,5,3,5,5,2,4,2,5,3,4,4,5,5,5,4,2,4,3,5,4,4,4,4,3,3,3,3,2,5,3,2,4
1360,1,3,2,2,3,2,3,3,4,3,1,2,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,1,2,3
1361,4,4,3,3,4,4,4,4,4,4,3,4,5,4,4,5,5,5,4,4,4,3,4,4,4,4,4,5,5,4,4,4,3,4,5,1,3,4
1362,3,3,4,4,4,4,4,3,3,4,4,5,5,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
1363,4,5,4,5,4,2,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,4,5
1364,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,2,4,4,3,4,4,5,2,3,3,3,4,4,5,5,5,4
1365,3,5,4,4,5,4,4,4,4,4,3,3,5,4,4,5,5,5,4,4,4,3,3,3,3,5,4,4,4,4,4,4,5,4,4,3,3,4
1366,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4,3,3,3,3,1,4,4,4,4,4,4,4,4,4,5,4,4,5
1367,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,4,3,4,5,5,5,4,4,5,5,5,5,4,4,5
1368,4,4,4,3,4,3,4,4,4,4,4,5,5,4,4,5,5,5,5,4,4,3,3,3,2,3,4,4,4,4,3,4,5,4,4,4,4,5
1369,4,4,4,4,4,3,4,3,4,4,2,4,4,4,4,5,5,5,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4
1370,3,4,4,4,5,4,5,4,5,4,5,5,4,3,4,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5
1371,4,5,4,5,5,5,4,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,3,5,5,5,5,4,5
1372,2,4,3,2,4,3,2,2,3,2,2,4,3,2,4,4,4,4,4,4,3,2,1,1,2,3,4,4,3,2,2,2,4,4,2,3,4,4
1373,2,2,2,4,4,2,4,4,5,4,4,3,5,4,3,5,5,5,4,5,4,4,3,3,3,3,4,5,5,3,2,3,5,5,3,3,2,3
1374,3,4,4,4,4,4,4,3,4,3,3,4,4,2,3,4,4,5,4,4,4,2,4,3,2,3,4,3,4,3,3,3,5,4,3,2,2,3
1375,3,4,4,3,4,4,3,3,4,3,2,4,4,3,3,4,4,4,4,4,4,3,2,2,2,3,4,4,4,3,3,3,3,3,4,3,4,3
1376,2,5,4,4,5,4,5,4,4,4,3,5,4,2,3,5,5,4,5,3,4,3,3,3,1,3,3,4,4,3,2,3,4,3,5,4,4,3
1377,4,5,4,4,5,4,4,5,5,4,3,5,2,1,2,4,5,5,4,3,2,1,3,2,1,4,4,2,5,4,2,4,4,4,4,1,2,3
1378,4,2,3,3,4,3,3,3,4,2,2,2,2,2,2,3,3,5,3,2,2,2,3,3,1,2,2,2,3,2,2,2,4,3,3,2,2,2
1379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,3,3,3,3,4,4,4,4
1380,4,4,3,4,3,3,3,3,3,3,1,4,4,3,3,4,4,3,4,1,1,2,1,1,1,3,4,4,4,4,4,3,4,4,4,3,2,3
1381,3,3,3,3,3,3,2,2,4,3,3,5,5,5,5,5,4,4,5,4,4,3,4,3,3,5,5,5,4,5,4,4,5,4,5,2,4,4
1382,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,5,4,4,5
1383,4,5,4,5,4,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,3,5,5
1384,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,4,4,5,4,4,4,4,4,3,4,4,5,4,4,4,4,5,5,4,4,4,4
1385,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
1386,3,4,3,4,5,3,3,2,5,3,4,5,5,4,5,5,5,4,4,4,5,3,3,4,3,3,3,4,5,4,5,4,4,4,5,2,3,3
1387,3,3,4,5,4,4,5,4,5,4,3,3,4,4,4,5,5,5,5,4,4,3,3,3,3,4,5,5,4,4,4,4,4,4,2,2,4,4
1388,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1389,2,2,2,2,4,2,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,3,4,4,3,5,4,4,4
1390,2,2,2,4,2,2,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,4,4,2,4,5,5,4,4,3,4,4,4,5,2,4,3
1391,3,3,3,4,4,3,5,5,5,4,5,5,5,4,5,4,5,4,4,4,4,2,3,3,4,4,4,5,4,3,3,3,4,4,5,4,4,4
1392,3,4,4,4,4,3,5,4,4,4,3,4,3,4,3,5,5,5,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4
1393,4,5,5,5,4,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,5
1394,4,4,4,5,4,4,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,3,3,3,5,4,5,5,4,4,4,4,5,4,5,5,5,5
1395,3,4,4,4,3,3,5,5,5,5,2,4,2,4,3,5,5,5,5,4,3,4,5,5,5,4,5,5,4,4,4,4,5,5,5,5,5,5
1396,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5
1397,4,3,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,3
1398,3,4,3,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4
1399,2,4,2,2,3,1,5,5,5,4,3,3,5,3,3,4,4,5,4,5,5,5,4,4,4,3,5,5,3,4,4,3,4,3,5,5,5,3
1400,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,5,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,4,4,3
1401,4,5,3,4,4,3,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
1402,3,4,3,4,3,2,4,3,4,3,3,3,4,3,3,4,4,5,5,5,5,4,4,4,4,5,5,4,4,4,2,4,4,4,5,4,4,4
1403,3,3,3,4,4,3,4,4,5,4,3,3,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4
1404,2,3,2,3,3,2,3,3,3,3,4,2,3,4,2,5,5,5,5,4,2,2,3,3,3,3,4,4,4,4,3,4,5,5,4,4,4,4
1405,4,3,2,2,4,3,4,4,5,5,4,4,4,4,2,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,5,5,4
1406,3,3,4,4,4,4,3,4,4,3,3,5,3,5,3,5,5,5,5,4,5,4,3,3,5,4,5,5,4,4,4,4,4,4,5,5,5,5
1407,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,5,5,5,5,4,2,2,4,3,5,4,3,5,4,3,3,3,5,4,5,5,5,5
1408,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
1409,3,4,4,3,4,3,3,3,4,3,5,5,5,4,4,4,5,5,5,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,5,4,5,4
1410,3,4,4,4,4,3,5,4,5,4,4,4,2,3,2,4,5,5,4,2,3,1,2,2,2,3,3,4,3,3,3,3,5,4,5,4,4,2
1411,2,3,3,3,3,3,5,4,4,4,3,5,5,5,4,5,5,5,5,4,5,3,4,3,3,5,3,4,4,3,4,3,5,4,4,4,4,4
1412,4,5,3,2,4,3,4,4,4,4,3,5,3,4,4,5,5,5,5,4,3,3,3,3,3,4,4,4,3,3,4,3,4,2,5,4,4,4
1413,4,4,4,3,4,3,4,5,5,4,3,4,3,4,4,4,4,5,5,3,4,3,3,3,4,2,3,3,3,2,3,2,1,2,5,5,5,4
1414,2,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,5,5,5,5,5,5,5,5,5,5,4,5
1415,2,4,2,3,2,2,2,2,3,2,2,2,1,1,2,5,4,5,5,4,2,2,2,1,2,2,4,4,3,4,4,3,3,3,4,2,3,2
1416,1,2,1,2,2,1,3,1,1,1,5,5,3,2,1,4,3,5,3,3,3,1,1,1,1,5,3,3,2,2,2,1,1,1,3,3,2,1
1417,3,2,2,2,2,2,4,4,4,4,4,4,4,2,3,4,4,4,3,3,3,3,2,1,1,3,3,3,1,3,3,1,4,4,4,3,2,2
1418,3,3,3,3,3,3,1,1,3,2,3,4,4,3,3,3,3,3,4,1,1,1,3,3,3,4,3,3,3,3,3,2,4,3,4,3,3,3
1419,3,4,4,4,4,4,3,3,4,3,2,3,2,2,3,4,4,4,3,4,3,3,4,3,1,2,4,4,4,2,2,4,3,3,4,4,4,2
1420,3,2,2,3,3,2,4,3,3,2,2,3,4,1,2,3,3,4,3,2,2,2,2,2,4,1,2,1,2,2,2,2,2,3,3,3,2,2
1421,3,4,4,4,4,4,4,4,4,3,1,4,4,4,3,3,3,4,4,4,4,4,3,3,4,3,4,4,3,3,2,3,3,3,4,3,3,3
1422,4,4,3,2,4,3,4,3,4,3,4,4,3,3,3,4,4,5,4,4,3,3,4,4,1,4,4,4,3,4,3,3,4,4,4,4,2,3
1423,4,5,5,4,5,4,5,5,5,5,5,5,5,2,4,5,5,5,4,2,4,4,5,5,4,4,4,5,5,5,4,4,5,5,5,4,4,3
1424,4,4,4,2,4,4,2,2,4,3,4,5,4,4,4,5,4,5,4,4,4,4,4,4,1,3,4,4,3,4,4,3,3,4,5,4,4,4
1425,2,2,1,3,1,2,2,3,3,2,2,2,3,1,1,4,4,4,5,1,2,3,4,3,1,1,4,2,1,3,1,1,2,1,2,1,2,3
1426,5,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,4,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5
1427,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,5,4,4,4
1428,4,4,4,4,4,4,4,4,4,4,2,2,3,5,2,5,5,5,4,4,4,4,4,4,3,4,4,4,4,3,2,3,3,3,4,2,4,3
1429,2,4,4,3,4,2,4,2,3,2,2,3,3,3,3,4,4,4,3,3,3,3,3,3,2,4,3,4,3,3,3,3,4,3,4,3,3,4
1430,2,2,2,2,2,2,3,3,3,3,1,4,2,3,4,4,4,4,4,4,4,4,4,4,3,3,4,5,2,4,4,2,2,4,5,5,4,3
1431,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,4,4,4,3,3,3,3,3,4,4,4,3,3
1432,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
1433,4,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,3,4,5,5,4,5,4,5,5,5,5,5,5,5
1434,1,4,4,5,2,3,5,4,4,4,4,5,1,2,3,5,5,5,5,5,1,1,5,5,5,4,2,5,3,4,4,3,5,5,5,5,5,4
1435,2,3,4,4,4,3,5,3,5,4,2,2,4,4,5,5,5,5,5,5,5,4,5,4,5,5,3,5,3,4,3,3,5,5,4,4,5,4
1436,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
1437,3,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,4,4,4,5,4,5,5,5,5,5,5,4
1438,4,4,4,5,4,4,2,3,3,3,2,5,5,4,5,5,4,5,4,2,4,3,4,5,5,5,4,3,2,3,3,4,4,3,5,4,5,3
1439,2,2,2,2,2,2,4,4,4,4,5,5,5,2,2,4,2,2,4,4,2,2,4,4,5,2,1,3,3,2,2,3,2,2,4,2,4,3
1440,4,4,4,4,3,3,4,4,4,4,4,4,4,2,4,5,5,5,4,4,4,3,3,3,2,4,4,5,4,4,3,4,5,4,4,3,4,4
1441,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,4,5,5,4,4,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5
1442,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1443,4,5,5,5,4,4,4,5,4,4,3,5,5,5,4,5,5,5,4,4,4,4,4,4,3,5,4,5,5,5,5,5,5,4,5,5,5,5
1444,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
1445,3,4,3,4,4,4,4,4,4,3,2,4,5,4,5,4,4,5,4,4,3,3,3,3,5,5,4,4,5,4,4,4,4,2,4,4,4,4
1446,4,5,4,5,3,3,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,3,5,5,5,5,5,4,5,5,4,5,4,5,5
1447,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5
1448,4,4,4,5,5,4,4,4,5,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5,5
1449,4,4,4,5,5,5,4,3,5,5,2,5,5,5,3,5,5,5,5,4,4,4,5,4,3,4,5,5,5,4,4,5,5,5,4,5,5,5
1450,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4
1451,3,4,4,4,4,3,4,4,4,4,3,4,5,4,3,5,5,5,5,4,5,4,4,3,4,4,4,4,4,4,3,4,5,5,3,4,4,4
1452,4,5,4,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,3,4,5
1453,3,4,4,4,4,4,5,5,5,4,2,3,4,4,1,5,5,5,5,2,3,3,2,3,2,2,4,4,4,4,3,3,4,4,4,4,3,3
1454,3,5,4,5,5,4,5,4,5,4,2,4,5,4,4,5,5,5,5,5,4,2,3,3,5,4,4,5,4,5,5,5,5,5,3,4,4,5
1455,2,3,3,4,3,1,2,1,3,3,3,5,5,5,3,4,2,4,5,4,3,2,4,3,4,3,4,5,5,4,2,4,3,3,4,5,4,5
1456,4,3,4,4,4,3,4,3,4,3,2,3,4,3,2,4,3,4,4,3,3,2,3,2,3,3,4,4,3,3,3,3,4,4,4,4,3,4
1457,3,4,4,4,5,4,4,4,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,5,4,4,4,5,4,4,4,4,4,4,4,4
1458,4,4,4,4,4,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,3,3,4,5
1459,4,5,5,4,5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,3,3,5,5,4,5,5,5,5,5,4,2,5,5,5,5
1460,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1461,2,2,3,4,4,2,2,4,5,4,2,5,5,4,3,5,5,5,3,3,3,3,4,3,3,5,5,5,5,4,4,5,5,4,5,5,5,4
1462,3,4,3,4,4,4,4,3,4,4,3,4,5,5,4,5,5,5,5,5,5,5,4,4,5,3,5,4,5,5,5,5,5,5,2,5,5,5
1463,1,1,1,1,1,1,1,1,1,1,2,5,5,2,1,4,4,4,3,4,3,1,2,2,1,4,4,5,1,4,4,3,3,3,2,2,3,2
1464,2,3,4,4,3,2,4,5,4,3,5,5,5,4,4,5,5,5,5,4,4,4,2,2,5,5,5,4,4,4,5,3,5,5,3,4,4,2
1465,3,5,4,3,3,4,3,2,2,2,4,4,4,4,3,5,5,4,4,3,3,2,2,2,2,4,4,4,4,3,3,4,3,3,2,3,2,2
1466,3,4,3,4,4,3,4,4,4,4,5,5,4,3,3,5,5,5,4,4,5,4,2,2,2,3,4,4,4,4,4,4,4,3,3,3,3,3
1467,2,2,3,4,4,2,4,5,5,4,5,5,4,4,4,4,1,4,4,4,3,1,1,2,5,4,5,5,4,4,4,4,5,3,5,4,4,2
