ID,2_1,2_2,2_3,2_4,2_5,2_all,3_1,3_2,3_3,3_all,4_1,4_2,4_3,4_4,4_all,5_1,5_2,5_3,5_4,5_5,5_6,5_all,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_all,7_1,7_2,7_3,7_4,7_all,all
40,4,4,4,2,4,4,4,3,3,3,4,4,3,4,3,4,4,5,4,3,2,1,3,3,1,2,3,4,2,2,3,3,4,4,4,4,3,3
41,2,3,3,4,4,4,5,5,4,4,4,4,3,4,4,5,5,5,5,5,4,4,3,3,1,4,4,5,4,4,3,3,5,5,2,2,3,4
42,2,5,4,5,4,4,5,5,4,4,4,5,5,4,5,5,5,5,5,4,4,4,3,3,1,2,4,5,4,4,4,5,3,3,5,5,5,4
43,2,2,3,3,4,3,4,4,4,3,4,5,5,3,4,5,5,5,5,3,3,2,4,3,1,3,3,4,3,3,3,3,3,3,3,3,4,3
44,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,5,5,4,3,4,4,5
45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
46,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4
47,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4
48,3,3,4,4,4,4,4,4,4,3,2,3,3,4,3,4,4,4,4,4,3,3,3,3,1,4,2,3,4,3,3,3,4,4,5,4,4,4
49,2,3,2,4,4,3,3,4,4,3,3,4,3,3,3,5,5,5,4,3,3,2,2,2,1,3,3,3,3,3,3,3,2,2,3,3,3,4
50,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,2,4,3,1,2,3,4,3,3,3,4,4,3,3,3,3,3
51,2,3,3,3,3,3,3,3,3,3,2,4,4,3,3,4,4,4,4,2,2,1,3,2,1,2,2,2,2,2,2,2,2,2,3,4,4,4
52,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,4,4,4,4
54,5,5,5,2,5,3,2,2,2,2,5,3,5,4,2,4,2,5,2,2,2,2,5,4,1,1,5,3,3,4,3,3,3,4,4,3,2,3
55,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2
56,2,4,3,2,4,2,3,3,4,3,5,5,4,4,5,5,5,5,5,3,3,3,3,3,1,3,4,3,4,3,3,3,3,4,4,4,4,4
57,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,4,4,4,4,3,3,4,3,3,1,3,3,4,4,4,4,4,3,3,4,4,4,4
58,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4
59,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,5,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3
60,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,4,4,4,4,4,3,4,4,4,5,4,4,4
61,2,2,2,1,2,2,4,4,4,4,3,4,4,4,4,4,4,5,5,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,2,2,2
62,3,2,4,2,3,3,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,2,2,1,2,4,3,2,2,3,3,2,4,4,4,3,3
63,2,2,2,4,3,2,4,4,4,4,4,5,5,3,3,5,5,5,5,5,4,2,4,3,1,2,4,4,2,2,3,1,5,4,4,4,4,3
64,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4
65,3,3,3,3,3,3,4,3,3,3,3,4,4,5,3,4,4,5,4,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,2,3,3
66,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,2,2,3,3,4,4,3,3,3,3,3,3,4,3,3,3
67,3,2,2,2,3,2,3,4,3,3,4,5,4,3,4,4,4,5,4,3,3,1,1,1,4,2,3,3,2,2,2,2,2,2,4,3,3,2
68,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,4
69,4,4,3,2,3,2,3,3,4,3,3,4,2,4,3,5,5,5,4,4,3,3,4,4,1,4,3,4,3,3,3,2,3,2,4,2,2,2
70,2,2,3,2,4,3,4,4,4,4,4,5,4,2,3,4,4,4,4,4,4,4,3,3,1,4,4,4,4,3,3,3,3,3,3,3,3,3
71,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
72,5,4,4,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,4,4,4,4,5,4,2,4,4,4,5,5,4,4,5,5,5,5,5,5
73,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,3,4
74,2,1,2,4,2,2,4,4,4,4,4,4,3,4,4,4,4,4,5,1,3,3,4,3,5,1,4,4,4,3,3,3,4,3,5,4,4,3
75,2,2,2,2,4,3,2,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,2,4,4,2,2,4,2,4
76,4,2,2,3,4,4,2,2,3,3,2,5,5,2,5,4,4,4,4,2,3,3,2,3,4,4,4,4,4,2,4,4,4,3,5,5,5,4
77,2,2,3,4,3,2,4,4,4,4,2,5,5,2,2,5,1,2,4,4,4,4,2,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5
78,3,3,3,2,4,2,4,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,4,3,5,5,5,3,4,4,4,5,5,5,5,5,5
79,4,4,4,3,5,4,5,4,4,4,4,4,3,4,5,5,5,5,5,4,4,5,5,5,3,3,5,5,4,4,4,4,5,5,5,5,5,5
80,4,3,3,4,4,4,5,5,5,4,3,4,4,5,4,5,5,5,5,4,3,4,2,2,3,4,4,4,4,4,3,4,4,3,5,5,4,3
81,4,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5
82,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,4,4,4,3
83,2,3,3,4,3,3,5,2,3,3,3,4,3,2,3,4,5,5,5,4,4,2,3,3,1,3,4,5,3,2,2,2,4,3,2,2,2,3
84,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,4,5,5,5,5,5,5,5,5,4,4,4,5
85,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,3,5,5,5,4,4,4,4,5,5,3,3,3,4
86,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
87,3,4,3,3,4,3,4,3,4,4,4,5,4,4,4,5,5,5,4,5,5,5,5,3,2,4,5,5,4,4,3,3,5,4,3,2,3,3
88,4,4,4,2,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,2,3,4,5,5,4,5,5,5,5,4,2,4,5,5
89,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,2,5,5,5,5,4,5,5
90,4,5,4,4,5,4,4,3,4,4,4,5,4,2,3,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,3,4,4,3,2,3,3,5
91,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,4,4,3,3,4,4,3,4,4,4,4
92,2,3,2,3,2,3,4,2,4,3,4,4,4,4,4,4,4,5,4,4,3,3,3,3,1,3,3,4,3,4,3,3,5,5,1,2,3,2
93,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,3,3,2,3,3,4,4,4,3
